Port Type,Latitude,Longitude
EV Plug (J1772),51.169923,-115.5950771
EV Plug (J1772),51.169923,-115.5950771
EV Plug (J1772),51.169923,-115.5950771
Tesla,51.169923,-115.5950771
Tesla,51.169923,-115.5950771
Tesla,51.169923,-115.5950771
EV Plug (J1772),51.1648239,-115.5684571
Tesla,51.1648239,-115.5684571
Tesla,51.1648239,-115.5684571
Tesla,51.1648239,-115.5684571
Tesla,51.1648239,-115.5684571
Tesla,51.1648239,-115.5684571
Tesla,51.1648239,-115.5684571
EV Plug (J1772),51.172305,-115.5646715
EV Plug (J1772),51.172305,-115.5646715
Tesla,51.1738722,-115.5742398
Tesla,51.1738722,-115.5742398
Tesla,51.1738722,-115.5742398
Tesla,51.1738722,-115.5742398
EV Plug (J1772),51.1746417,-115.5687883
EV Plug (J1772),51.1759415,-115.5748543
EV Plug (J1772),51.1779787,-115.5727384
EV Plug (J1772),51.1779787,-115.5727384
EV Plug (J1772),51.1779787,-115.5727384
EV Plug (J1772),51.1779787,-115.5727384
Tesla,51.1779787,-115.5727384
Tesla,51.1779787,-115.5727384
Tesla,51.1779787,-115.5727384
Tesla,51.1779787,-115.5727384
EV Plug (J1772),51.180729,-115.569794
Tesla,51.180729,-115.569794
Tesla,51.180729,-115.569794
EV Plug (J1772),51.1830396,-115.5681233
EV Plug (J1772),51.1873795,-115.5908471
EV Plug (J1772),51.148636,-115.556778
EV Plug (J1772),51.148636,-115.556778
EV Plug (J1772),51.148636,-115.556778
Tesla,51.148636,-115.556778
Tesla,51.148636,-115.556778
Tesla,51.148636,-115.556778
Tesla,51.148636,-115.556778
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
Tesla,51.151901,-115.56033
EV Plug (J1772),51.18556,-115.55733
EV Plug (J1772),51.18556,-115.55733
EV Plug (J1772),51.18556,-115.55733
EV Plug (J1772),51.18556,-115.55733
