In,Out,TimeStamp
36.0,49.0,2024-01-01 00:00:00
36.0,49.0,2024-01-01 01:00:00
36.0,49.0,2024-01-01 02:00:00
42.0,55.0,2024-01-01 03:00:00
40.0,68.0,2024-01-01 04:00:00
40.0,68.0,2024-01-01 05:00:00
78.0,161.0,2024-01-01 06:00:00
104.0,235.0,2024-01-01 07:00:00
122.0,309.0,2024-01-01 08:00:00
205.0,489.0,2024-01-01 09:00:00
327.0,629.0,2024-01-01 10:00:00
417.0,721.0,2024-01-01 11:00:00
568.0,766.0,2024-01-01 12:00:00
721.0,784.0,2024-01-01 13:00:00
854.0,758.0,2024-01-01 14:00:00
873.0,725.0,2024-01-01 15:00:00
873.0,725.0,2024-01-01 16:00:00
781.0,669.0,2024-01-01 17:00:00
503.0,487.0,2024-01-01 18:00:00
305.0,373.0,2024-01-01 19:00:00
109.0,183.0,2024-01-01 20:00:00
98.0,160.0,2024-01-01 21:00:00
87.0,137.0,2024-01-01 22:00:00
87.0,137.0,2024-01-01 23:00:00
14.0,15.0,2024-01-02 00:00:00
14.0,15.0,2024-01-02 01:00:00
12.0,14.0,2024-01-02 02:00:00
14.0,17.0,2024-01-02 03:00:00
17.0,20.0,2024-01-02 04:00:00
30.0,35.0,2024-01-02 05:00:00
77.0,75.0,2024-01-02 06:00:00
119.0,138.0,2024-01-02 07:00:00
200.0,251.0,2024-01-02 08:00:00
238.0,294.0,2024-01-02 09:00:00
244.0,321.0,2024-01-02 10:00:00
255.0,314.0,2024-01-02 11:00:00
277.0,310.0,2024-01-02 12:00:00
306.0,318.0,2024-01-02 13:00:00
345.0,337.0,2024-01-02 14:00:00
349.0,319.0,2024-01-02 15:00:00
347.0,296.0,2024-01-02 16:00:00
316.0,256.0,2024-01-02 17:00:00
269.0,221.0,2024-01-02 18:00:00
203.0,166.0,2024-01-02 19:00:00
162.0,134.0,2024-01-02 20:00:00
121.0,105.0,2024-01-02 21:00:00
75.0,75.0,2024-01-02 22:00:00
55.0,50.0,2024-01-02 23:00:00
23.0,18.0,2024-01-03 00:00:00
23.0,18.0,2024-01-03 01:00:00
11.0,10.0,2024-01-03 02:00:00
12.0,14.0,2024-01-03 03:00:00
12.0,14.0,2024-01-03 04:00:00
37.0,40.0,2024-01-03 05:00:00
150.0,134.0,2024-01-03 06:00:00
217.0,252.0,2024-01-03 07:00:00
285.0,406.0,2024-01-03 08:00:00
263.0,365.0,2024-01-03 09:00:00
277.0,372.0,2024-01-03 10:00:00
439.0,542.0,2024-01-03 11:00:00
432.0,471.0,2024-01-03 12:00:00
503.0,449.0,2024-01-03 13:00:00
570.0,467.0,2024-01-03 14:00:00
602.0,491.0,2024-01-03 15:00:00
535.0,453.0,2024-01-03 16:00:00
376.0,355.0,2024-01-03 17:00:00
283.0,285.0,2024-01-03 18:00:00
207.0,214.0,2024-01-03 19:00:00
151.0,153.0,2024-01-03 20:00:00
118.0,124.0,2024-01-03 21:00:00
82.0,69.0,2024-01-03 22:00:00
77.0,58.0,2024-01-03 23:00:00
30.0,22.0,2024-01-04 00:00:00
22.0,19.0,2024-01-04 01:00:00
18.0,18.0,2024-01-04 02:00:00
30.0,29.0,2024-01-04 03:00:00
29.0,33.0,2024-01-04 04:00:00
98.0,154.0,2024-01-04 05:00:00
158.0,277.0,2024-01-04 06:00:00
223.0,388.0,2024-01-04 07:00:00
334.0,537.0,2024-01-04 08:00:00
334.0,537.0,2024-01-04 09:00:00
460.0,655.0,2024-01-04 10:00:00
