DateTime,East,West
202405221810,21,29
2024-05-22-18-11,21,29
2024-05-22-18-12,21,29
2024-05-22-18-14,21,30
2024-05-22-18-29,23,34
2024-05-22-18-44,23,31
2024-05-22-19-03,25,31
2024-05-22-19-04,25,31
2024-05-22-19-05,25,31
2024-05-22-19-05,25,31
2024-05-22-19-20,28,29
2024-05-22-19-35,25,33
2024-05-22-19-50,28,28
2024-05-22-20-05,22,23
2024-05-22-20-20,23,23
2024-05-22-20-35,21,26
2024-05-22-20-37,21,26
2024-05-22-20-52,20,24
2024-05-22-21-07,21,23
2024-05-22-21-22,21,25
2024-05-22-21-37,20,24
2024-05-22-21-52,23,27
