In,Out,date,weekday,hour,year,month,dayofyear,weekofyear,holiday
62,82,1,0,0,2013,7,182,27,1
36,50,1,0,1,2013,7,182,27,1
32,30,1,0,2,2013,7,182,27,1
14,27,1,0,3,2013,7,182,27,1
20,17,1,0,4,2013,7,182,27,1
27,41,1,0,5,2013,7,182,27,1
72,94,1,0,6,2013,7,182,27,1
142,241,1,0,7,2013,7,182,27,1
228,410,1,0,8,2013,7,182,27,1
398,664,1,0,9,2013,7,182,27,1
520,775,1,0,10,2013,7,182,27,1
704,852,1,0,11,2013,7,182,27,1
850,730,1,0,12,2013,7,182,27,1
900,684,1,0,13,2013,7,182,27,1
1035,781,1,0,14,2013,7,182,27,1
946,804,1,0,15,2013,7,182,27,1
892,766,1,0,16,2013,7,182,27,1
743,720,1,0,17,2013,7,182,27,1
490,998,1,0,18,2013,7,182,27,1
522,699,1,0,19,2013,7,182,27,1
386,576,1,0,20,2013,7,182,27,1
270,399,1,0,21,2013,7,182,27,1
209,281,1,0,22,2013,7,182,27,1
155,293,1,0,23,2013,7,182,27,1
44,79,2,1,0,2013,7,183,27,0
13,25,2,1,1,2013,7,183,27,0
13,23,2,1,2,2013,7,183,27,0
11,14,2,1,3,2013,7,183,27,0
20,24,2,1,4,2013,7,183,27,0
34,70,2,1,5,2013,7,183,27,0
108,152,2,1,6,2013,7,183,27,0
271,326,2,1,7,2013,7,183,27,0
385,494,2,1,8,2013,7,183,27,0
342,643,2,1,9,2013,7,183,27,0
414,712,2,1,10,2013,7,183,27,0
520,673,2,1,11,2013,7,183,27,0
607,601,2,1,12,2013,7,183,27,0
619,642,2,1,13,2013,7,183,27,0
703,636,2,1,14,2013,7,183,27,0
710,692,2,1,15,2013,7,183,27,0
771,668,2,1,16,2013,7,183,27,0
764,674,2,1,17,2013,7,183,27,0
630,488,2,1,18,2013,7,183,27,0
504,345,2,1,19,2013,7,183,27,0
382,356,2,1,20,2013,7,183,27,0
311,298,2,1,21,2013,7,183,27,0
182,202,2,1,22,2013,7,183,27,0
113,112,2,1,23,2013,7,183,27,0
53,45,3,2,0,2013,7,184,27,0
28,21,3,2,1,2013,7,184,27,0
16,11,3,2,2,2013,7,184,27,0
13,12,3,2,3,2013,7,184,27,0
9,19,3,2,4,2013,7,184,27,0
36,62,3,2,5,2013,7,184,27,0
99,157,3,2,6,2013,7,184,27,0
273,284,3,2,7,2013,7,184,27,0
418,492,3,2,8,2013,7,184,27,0
350,573,3,2,9,2013,7,184,27,0
460,660,3,2,10,2013,7,184,27,0
536,677,3,2,11,2013,7,184,27,0
655,572,3,2,12,2013,7,184,27,0
585,605,3,2,13,2013,7,184,27,0
697,619,3,2,14,2013,7,184,27,0
696,651,3,2,15,2013,7,184,27,0
792,700,3,2,16,2013,7,184,27,0
812,730,3,2,17,2013,7,184,27,0
738,500,3,2,18,2013,7,184,27,0
558,440,3,2,19,2013,7,184,27,0
382,361,3,2,20,2013,7,184,27,0
334,341,3,2,21,2013,7,184,27,0
205,238,3,2,22,2013,7,184,27,0
122,125,3,2,23,2013,7,184,27,0
58,47,4,3,0,2013,7,185,27,0
27,22,4,3,1,2013,7,185,27,0
6,10,4,3,2,2013,7,185,27,0
11,14,4,3,3,2013,7,185,27,0
17,18,4,3,4,2013,7,185,27,0
35,55,4,3,5,2013,7,185,27,0
98,129,4,3,6,2013,7,185,27,0
262,286,4,3,7,2013,7,185,27,0
393,504,4,3,8,2013,7,185,27,0
384,674,4,3,9,2013,7,185,27,0
527,716,4,3,10,2013,7,185,27,0
617,730,4,3,11,2013,7,185,27,0
634,624,4,3,12,2013,7,185,27,0
664,628,4,3,13,2013,7,185,27,0
669,690,4,3,14,2013,7,185,27,0
743,663,4,3,15,2013,7,185,27,0
789,734,4,3,16,2013,7,185,27,0
867,726,4,3,17,2013,7,185,27,0
783,535,4,3,18,2013,7,185,27,0
545,479,4,3,19,2013,7,185,27,0
440,399,4,3,20,2013,7,185,27,0
308,398,4,3,21,2013,7,185,27,0
194,218,4,3,22,2013,7,185,27,0
99,112,4,3,23,2013,7,185,27,0
47,43,5,4,0,2013,7,186,27,0
25,15,5,4,1,2013,7,186,27,0
21,18,5,4,2,2013,7,186,27,0
10,18,5,4,3,2013,7,186,27,0
13,24,5,4,4,2013,7,186,27,0
35,57,5,4,5,2013,7,186,27,0
99,137,5,4,6,2013,7,186,27,0
262,270,5,4,7,2013,7,186,27,0
401,482,5,4,8,2013,7,186,27,0
366,718,5,4,9,2013,7,186,27,0
440,765,5,4,10,2013,7,186,27,0
577,736,5,4,11,2013,7,186,27,0
661,631,5,4,12,2013,7,186,27,0
705,645,5,4,13,2013,7,186,27,0
779,696,5,4,14,2013,7,186,27,0
829,642,5,4,15,2013,7,186,27,0
717,726,5,4,16,2013,7,186,27,0
732,720,5,4,17,2013,7,186,27,0
898,493,5,4,18,2013,7,186,27,0
506,419,5,4,19,2013,7,186,27,0
388,322,5,4,20,2013,7,186,27,0
295,300,5,4,21,2013,7,186,27,0
233,196,5,4,22,2013,7,186,27,0
